id,name,tag,url,rank,tier,ranked_rating,damage_per_round,kd_ratio,headshot_percent,win_percent,wins,kast,dd_per_round,kills,deaths,assists,acs,kad_ratio,kills_per_round,first_bloods,flawless_rounds,aces
2222,WUKONG,#KINGS,https://tracker.gg/valorant/profile/riot/WUKONG%23KINGS/overview,2405,Immortal,130,139.2,1.1,0.231,0.49,50.0,0.7290000000000001,8.0,1607.0,1462.0,539.0,212.4,1.47,0.8,184.0,75.0,3.0
2223,Pum4,#Lily,https://tracker.gg/valorant/profile/riot/Pum4%23Lily/overview,2406,Immortal,130,130.5,0.96,0.29,0.524,99.0,0.688,-4.0,2752.0,2877.0,889.0,192.7,1.27,0.7,357.0,138.0,1.0
2224,Suji,#SEN,https://tracker.gg/valorant/profile/riot/Suji%23SEN/overview,2409,Immortal,130,135.7,0.95,0.214,0.479,58.0,0.691,-1.0,1790.0,1887.0,477.0,203.3,1.2,0.7,306.0,112.0,2.0
2225,swig,#swig,https://tracker.gg/valorant/profile/riot/swig%23swig/overview,2410,Immortal,130,150.5,1.09,0.32,0.55,66.0,0.737,15.0,1946.0,1788.0,718.0,222.3,1.49,0.8,222.0,99.0,3.0
2226,Robbae1,#1999,https://tracker.gg/valorant/profile/riot/Robbae1%231999/overview,2411,Immortal,130,143.4,1.11,0.308,0.51,53.0,0.711,8.0,1751.0,1584.0,490.0,219.6,1.41,0.8,212.0,90.0,4.0
2227,GCU Envyz,#GOAT,https://tracker.gg/valorant/profile/riot/GCU%20Envyz%23GOAT/overview,2412,Immortal,130,140.2,1.02,0.241,0.5429999999999999,76.0,0.7170000000000001,2.0,2166.0,2126.0,706.0,209.7,1.35,0.7,285.0,139.0,4.0
2228,qwakiie,#poo,https://tracker.gg/valorant/profile/riot/qwakiie%23poo/overview,2413,Immortal,130,134.2,1.02,0.363,0.508,61.0,0.7290000000000001,-3.0,1857.0,1819.0,787.0,206.7,1.45,0.7,241.0,100.0,2.0
2229,ë¯¸êµ­ëì¤ëë¥,#1760,https://tracker.gg/valorant/profile/riot/%EB%AF%B8%EA%B5%AD%EB%86%88%EC%95%A4%EB%93%9C%EB%A5%98%231760/overview,2414,Immortal,130,147.3,1.05,0.218,0.5820000000000001,85.0,0.713,10.0,2396.0,2284.0,582.0,223.7,1.3,0.8,450.0,118.0,3.0
2230,hayden,#csgo,https://tracker.gg/valorant/profile/riot/hayden%23csgo/overview,2416,Immortal,130,142.8,1.07,0.236,0.565,117.0,0.728,8.0,3309.0,3104.0,1351.0,217.2,1.5,0.8,374.0,161.0,7.0
2231,Zephyr,#KDA,https://tracker.gg/valorant/profile/riot/Zephyr%23KDA/overview,2417,Immortal,130,140.1,1.04,0.201,0.526,91.0,0.732,9.0,2698.0,2595.0,1306.0,212.3,1.54,0.7,368.0,156.0,6.0
2232,Chung,#nUWb,https://tracker.gg/valorant/profile/riot/Chung%23nUWb/overview,2418,Immortal,129,125.7,0.97,0.309,0.564,31.0,0.721,-6.0,757.0,779.0,300.0,188.5,1.36,0.7,74.0,51.0,0.0
2233,vokezera,#isha,https://tracker.gg/valorant/profile/riot/vokezera%23isha/overview,2419,Immortal,129,117.5,0.8,0.21,0.51,73.0,0.6970000000000001,-25.0,1811.0,2259.0,881.0,175.7,1.19,0.6,196.0,113.0,2.0
2234,dakr,#FPS,https://tracker.gg/valorant/profile/riot/dakr%23FPS/overview,2420,Immortal,129,163.0,1.24,0.376,0.5429999999999999,44.0,0.7390000000000001,28.0,1450.0,1167.0,329.0,242.7,1.52,0.9,190.0,77.0,6.0
2235,Loraene,#babe,https://tracker.gg/valorant/profile/riot/Loraene%23babe/overview,2421,Immortal,129,150.7,1.07,0.266,0.521,100.0,0.6990000000000001,12.0,3074.0,2862.0,794.0,223.2,1.35,0.8,477.0,144.0,6.0
2236,powder,#AIMê°ë£¨,https://tracker.gg/valorant/profile/riot/powder%23AIM%EA%B0%80%EB%A3%A8/overview,2422,Immortal,129,152.7,1.08,0.299,0.476,68.0,0.7040000000000001,3.0,2559.0,2366.0,591.0,237.9,1.33,0.8,530.0,126.0,8.0
2237,HENRYZERA,#iwnl,https://tracker.gg/valorant/profile/riot/HENRYZERA%23iwnl/overview,2424,Immortal,128,143.0,1.07,0.316,0.467,21.0,0.721,11.0,706.0,661.0,211.0,211.4,1.39,0.7,81.0,39.0,2.0
2238,Sergio Kitchens,#4PF,https://tracker.gg/valorant/profile/riot/Sergio%20Kitchens%234PF/overview,2425,Immortal,128,146.4,1.1,0.299,0.55,22.0,0.727,12.0,654.0,597.0,233.0,226.2,1.49,0.8,81.0,31.0,1.0
2239,frutta,#SBD,https://tracker.gg/valorant/profile/riot/frutta%23SBD/overview,2427,Immortal,128,140.9,1.08,0.327,0.4579999999999999,49.0,0.735,6.0,1692.0,1572.0,623.0,212.5,1.47,0.8,177.0,67.0,3.0
2240,dln,#1070,https://tracker.gg/valorant/profile/riot/dln%231070/overview,2428,Immortal,128,152.4,1.12,0.32,0.4579999999999999,38.0,0.728,13.0,1477.0,1319.0,507.0,233.8,1.5,0.8,204.0,68.0,5.0
2241,eemleen,#lft,https://tracker.gg/valorant/profile/riot/eemleen%23lft/overview,2429,Immortal,128,150.8,1.08,0.275,0.456,47.0,0.703,14.0,1748.0,1615.0,366.0,226.1,1.31,0.8,246.0,74.0,2.0
2242,PSDN Mizzuk1,#1star,https://tracker.gg/valorant/profile/riot/PSDN%20Mizzuk1%231star/overview,2431,Immortal,128,153.2,1.15,0.282,0.467,42.0,0.731,10.0,1643.0,1424.0,270.0,236.2,1.34,0.9,238.0,63.0,1.0
2243,cozy,#poog,https://tracker.gg/valorant/profile/riot/cozy%23poog/overview,2432,Immortal,128,145.0,1.02,0.271,0.471,72.0,0.7170000000000001,4.0,2360.0,2303.0,718.0,212.8,1.34,0.7,275.0,126.0,3.0
2244,adoumti,#idk,https://tracker.gg/valorant/profile/riot/adoumti%23idk/overview,2433,Immortal,128,166.4,1.21,0.256,0.5429999999999999,63.0,0.716,29.0,2133.0,1759.0,445.0,251.7,1.47,0.9,362.0,95.0,3.0
2245,Klam,#pack,https://tracker.gg/valorant/profile/riot/Klam%23pack/overview,2434,Immortal,128,136.9,0.97,0.236,0.5,65.0,0.7,-7.0,1975.0,2046.0,608.0,209.4,1.26,0.7,298.0,97.0,3.0
2246,cntr,#goat,https://tracker.gg/valorant/profile/riot/cntr%23goat/overview,2435,Immortal,128,161.1,1.09,0.245,0.513,78.0,0.706,17.0,2624.0,2400.0,645.0,243.6,1.36,0.8,533.0,129.0,5.0
2247,Chaffy,#SWING,https://tracker.gg/valorant/profile/riot/Chaffy%23SWING/overview,2436,Immortal,128,135.8,0.99,0.198,0.5760000000000001,91.0,0.736,1.0,2325.0,2357.0,1009.0,201.4,1.41,0.7,212.0,124.0,3.0
2248,sugaboo,#wondr,https://tracker.gg/valorant/profile/riot/sugaboo%23wondr/overview,2437,Immortal,128,127.5,0.99,0.268,0.5670000000000001,59.0,0.737,-10.0,1491.0,1506.0,636.0,195.0,1.41,0.7,159.0,81.0,1.0
2249,HappySad,#333,https://tracker.gg/valorant/profile/riot/HappySad%23333/overview,2439,Immortal,128,133.5,1.04,0.28,0.556,153.0,0.746,2.0,4215.0,4042.0,2311.0,205.9,1.61,0.7,338.0,227.0,8.0
2250,C9 LF ZEKKENalt,#111,https://tracker.gg/valorant/profile/riot/C9%20LF%20ZEKKENalt%23111/overview,2440,Immortal,128,162.9,1.23,0.337,0.534,86.0,0.7170000000000001,22.0,3018.0,2461.0,646.0,249.5,1.49,0.9,479.0,156.0,11.0
2251,snaap,#6114,https://tracker.gg/valorant/profile/riot/snaap%236114/overview,2441,Immortal,128,143.5,1.07,0.23,0.555,66.0,0.74,8.0,1872.0,1743.0,608.0,214.3,1.42,0.8,205.0,86.0,2.0
2252,nvte,#é¸ã°ããè,https://tracker.gg/valorant/profile/riot/nvte%23%E9%81%B8%E3%81%B0%E3%82%8C%E3%81%97%E8%80%85/overview,2442,Immortal,128,147.3,1.08,0.275,0.509,146.0,0.713,10.0,4735.0,4387.0,1369.0,222.0,1.39,0.8,829.0,238.0,5.0
2253,BSU blue lobster,#bluey,https://tracker.gg/valorant/profile/riot/BSU%20blue%20lobster%23bluey/overview,2443,Immortal,128,134.8,1.08,0.23,0.591,55.0,0.725,-1.0,1504.0,1387.0,607.0,211.7,1.52,0.8,172.0,65.0,2.0
2254,BaBumBaBum,#WAHOO,https://tracker.gg/valorant/profile/riot/BaBumBaBum%23WAHOO/overview,2444,Immortal,128,124.2,1.09,0.278,0.8390000000000001,73.0,0.73,6.0,1151.0,1057.0,335.0,184.9,1.41,0.7,167.0,130.0,0.0
2255,NoTengoAudifonos,#AYUDA,https://tracker.gg/valorant/profile/riot/NoTengoAudifonos%23AYUDA/overview,2445,Immortal,128,186.6,1.45,0.239,0.6509999999999999,41.0,0.777,49.0,1263.0,869.0,297.0,291.5,1.8,1.0,223.0,65.0,5.0
2256,psychotiK,#nthn,https://tracker.gg/valorant/profile/riot/psychotiK%23nthn/overview,2446,Immortal,128,151.9,1.2,0.316,0.67,61.0,0.7340000000000001,17.0,1611.0,1344.0,520.0,231.6,1.59,0.8,229.0,88.0,2.0
2257,napzera,#GGWP,https://tracker.gg/valorant/profile/riot/napzera%23GGWP/overview,2447,Immortal,127,136.8,1.04,0.289,0.516,16.0,0.7440000000000001,4.0,480.0,463.0,247.0,206.8,1.57,0.7,40.0,25.0,0.0
2258,AG Astolfo,#Trap,https://tracker.gg/valorant/profile/riot/AG%20Astolfo%23Trap/overview,2448,Immortal,127,134.7,0.92,0.228,0.485,32.0,0.742,-1.0,936.0,1018.0,630.0,199.2,1.54,0.7,89.0,54.0,0.0
2259,tonza,#tones,https://tracker.gg/valorant/profile/riot/tonza%23tones/overview,2449,Immortal,127,158.3,1.13,0.335,0.487,38.0,0.718,15.0,1476.0,1304.0,351.0,241.7,1.4,0.8,264.0,64.0,6.0
2260,egoist jas,#ego,https://tracker.gg/valorant/profile/riot/egoist%20jas%23ego/overview,2450,Immortal,127,148.9,1.05,0.301,0.495,101.0,0.706,5.0,3391.0,3227.0,882.0,224.2,1.32,0.8,558.0,189.0,4.0
2261,silpha,#syn,https://tracker.gg/valorant/profile/riot/silpha%23syn/overview,2451,Immortal,127,170.8,1.32,0.217,0.516,48.0,0.7829999999999999,39.0,1785.0,1355.0,885.0,265.2,1.97,0.9,137.0,73.0,0.0
2262,ozuken,#brick,https://tracker.gg/valorant/profile/riot/ozuken%23brick/overview,2452,Immortal,127,158.0,1.15,0.233,0.473,44.0,0.746,18.0,1701.0,1476.0,576.0,239.7,1.54,0.8,217.0,91.0,5.0
2263,AlphaFly,#Coach,https://tracker.gg/valorant/profile/riot/AlphaFly%23Coach/overview,2453,Immortal,127,125.2,0.95,0.286,0.455,81.0,0.7070000000000001,-9.0,2540.0,2686.0,938.0,189.6,1.29,0.7,347.0,166.0,2.0
2264,moki,#å°ç«åª,https://tracker.gg/valorant/profile/riot/moki%23%E5%B0%8F%E7%8C%AB%E5%92%AA/overview,2454,Immortal,127,112.6,0.9,0.3279999999999999,0.593,70.0,0.7190000000000001,-14.0,1498.0,1663.0,602.0,167.0,1.26,0.6,123.0,102.0,1.0
2265,Hash2G,#1AV,https://tracker.gg/valorant/profile/riot/Hash2G%231AV/overview,2455,Immortal,127,138.1,1.04,0.242,0.505,52.0,0.718,6.0,1585.0,1528.0,579.0,209.4,1.42,0.7,235.0,73.0,5.0
2266,Mawfix,#ABC,https://tracker.gg/valorant/profile/riot/Mawfix%23ABC/overview,2456,Immortal,127,158.8,1.22,0.292,0.5429999999999999,69.0,0.731,22.0,2300.0,1885.0,521.0,241.7,1.5,0.9,365.0,103.0,5.0
2267,Kapdev,#1111,https://tracker.gg/valorant/profile/riot/Kapdev%231111/overview,2457,Immortal,127,143.1,1.01,0.27,0.506,85.0,0.713,-0.0,2619.0,2605.0,1047.0,219.2,1.41,0.7,371.0,129.0,3.0
2268,SWG ODIN ABUSER,#rich,https://tracker.gg/valorant/profile/riot/SWG%20ODIN%20ABUSER%23rich/overview,2458,Immortal,127,138.7,1.04,0.191,0.476,117.0,0.745,3.0,3827.0,3693.0,1796.0,213.1,1.52,0.7,313.0,187.0,6.0
2269,YungPlato,#1116,https://tracker.gg/valorant/profile/riot/YungPlato%231116/overview,2460,Immortal,127,145.2,1.06,0.285,0.535,151.0,0.711,6.0,4496.0,4258.0,1430.0,218.9,1.39,0.8,623.0,237.0,7.0
2270,jinn,#zade,https://tracker.gg/valorant/profile/riot/jinn%23zade/overview,2461,Immortal,127,165.0,1.2,0.265,0.583,81.0,0.725,24.0,2563.0,2144.0,545.0,254.2,1.45,0.9,534.0,115.0,5.0
2271,toon,#thai,https://tracker.gg/valorant/profile/riot/toon%23thai/overview,2462,Immortal,126,136.5,0.96,0.301,0.5479999999999999,23.0,0.696,-4.0,661.0,690.0,227.0,202.7,1.29,0.7,96.0,31.0,1.0
